SURGE_ID,LAT,LON,Year,Storm Dates
0,24.6547,-81.2817,1950,Oct 13-19
1,27.5094,-82.7211,1950,Sep 1-9
2,29.7208,-84.9811,1950,Aug 20- Sep 1
3,25.85,-80.1197,1950,Oct 13 -19
4,30.0225,-84.3858,1953,Sep 23-28
5,34.9772,-76.7713,1953,Aug 11 - 16
6,33.874,-78.48,1954,
7,41.7855,-71.3829,1954,30-31 Aug
8,30.3931,-88.9303,1955,Jul 31- Aug 03
9,27.7997,-97.3911,1955,Sep 4-6
10,29.8551,-89.6786,1955,Aug 23-30
11,35.0722,-77.011,1955,Sep 10 - 24
12,33.918,-78.1491,1955,Aug 7 -21
13,34.005,-77.897,1955,
14,29.3683,-89.5297,1956,Sep 21-30
15,30.2386,-85.9244,1956,Sep 21-30
16,30.3922,-88.8836,1956,Jun 12-15
17,36.9547,-76.3269,1956,Sep 21 - 30 
18,29.7697,-93.4525,1957,Jun 25-29
19,30.3931,-88.9303,1957,Sep 16-19
20,29.7451,-92.1075,1957,Aug 8-11
21,30.1033,-84.0442,1957,Sep 7-9
22,,,1957,Jun 8-15
23,,,1958,Aug 30- Sep 6
24,,,1958,Jun 14-16
25,,,1958,Aug 30- Sep 6
26,35.2586,-75.5965,1958,Sep 27-28
27,29.1397,-83.0419,1959,Oct 6-9
28,,,1959,Oct 17-21
29,29.6731,-94.9878,1959,Jul 23-28
30,29.3667,-91.3833,1959,May 28- Jun 2
31,,,1959,Jun 15-18
32,32.5133,-80.2829,1959,Sep 20 - Oct 2
33,33.0102,-79.4841,1959,Jul 5 - 12
34,24.9133,-80.6353,1960,Aug 29- Sep 14
35,29.3825,-89.5189,1960,Sep 14-17
36,27.7842,-97.3929,1960,Jun 22-29
37,40.5869,-73.8254,1960,9-13 Sept
38,28.6122,-96.6203,1961,Sep 3-16
39,35.9111,-75.5929,1962,Aug 26 - Sep 2
40,29.7622,-93.3442,1963,Sep 16-20
41,34.2271,-77.951,1963,Oct 16 -30
42,29.0186,-82.7264,1964,Aug 28- Sep 16
43,29.2357,-90.6712,1964,Sep 28- Oct 5
44,24.5453,-81.8108,1964,Oct 8-17
45,28.8044,-95.5483,1964,Aug 5-8
46,27.941,-82.4573,1964,Aug 20- Sep 5
47,24.555,-81.8067,1964,10/8-10/16
48,31.1448,-81.4988,1964,8/28 - 9/16
49,26.1007,-80.1189,1964,8/20 -9/5
50,29.7208,-84.9811,1965,Jun 11-18
51,29.545,-89.7565,1965,Aug 27- Sep 13
52,25.2646,-80.3018,1965,Aug 27- Sep 13
53,30.0157,-90.0292,1965,Sep 24-30
54,25.0096,-80.5148,1965,8/27-9/10
55,,,1965,Aug 19-31
56,28.9078,-82.6911,1966,Jun 4-14
57,24.6719,-81.3397,1966,Sep 21- Oct 11
58,26.4501,-81.9497,1966,Jun 4-14
59,27.7858,-97.3942,1966,Sep 21- Oct 11
60,24.6483,-81.33,1966,9/21-10/11
61,24.555,-81.8067,1966,6/4-6/14
62,26.4,-97.2217,1967,Sep 5-22
63,28.6983,-96.2151,1968,Jun 22-26
64,28.3801,-82.7056,1968,Oct 13-21
65,25.8456,-81.3878,1968,Jun 1-13
66,52.3361,-65.9486,1968,10/13-10/21
67,30.3158,-89.2475,1969,Aug 14-22
68,29.914,-84.524,1970,Jul 19-23
69,26.1119,-97.1683,1970,Sep 8-13
70,27.8604,-97.2417,1970,Jul 31- Aug 5
71,29.3091,-94.7937,1970,Sep 12-17
72,,,1970,13-Sep
73,29.7161,-91.8772,1971,Sep 5-18
74,28.9439,-95.3094,1971,Sep 3-13
75,26.1119,-97.1683,1971,Sep 5-18
76,29.1363,-83.0373,1972,Jun 14-23
77,38.0908,-75.1993,1972,6/4-6/22
78,29.7335,-94.9781,1973,Sep 1-7
79,29.2453,-90.6633,1974,Aug 29- Sep 10
80,,,1974,Nov 11-12
81,30.3494,-86.2431,1975,Sep 13-24
82,27.4772,-97.2738,1975,Aug 24- Sep 1
83,34.6974,-76.7387,1976,8/17-8/21
84,39.3756,-74.4019,1976,9-Aug
85,29.1627,-90.6537,1977,Sep 3-9
86,26.0728,-97.1669,1977,Aug 29- Sep 3
87,29.7452,-91.6683,1978,Aug 26-29
88,,,1978,24-Sep
89,,,1978,7-Nov
90,30.2654,-87.598,1979,Aug 29- Sep 15
91,30.3614,-89.0928,1979,Jul 9-16
92,29.7286,-93.8708,1979,Jul 15-29
93,29.381,-94.8892,1979,Aug 30- Sep 2
94,24.9235,-80.6261,1979,Aug 25- Sep 8
95,30.0982,-81.0798,1979,8/25-9/7
96,26.4653,-97.2442,1980,Nov 7-16
97,29.6804,-93.8394,1980,Sep 4-7
98,26.5553,-97.4233,1980,Jul 31- Aug 11
99,29.7608,-93.5625,1982,Sep 9-12
100,26.0768,-97.157,1983,Aug 23-29
101,29.0898,-95.1213,1983,Aug 15-21
102,34.034,-77.8913,1984,9/8-9/16
103,29.6689,-85.3275,1985,Nov 15-23
104,29.7191,-85.0717,1985,Aug 28- Sep 4
105,30.0038,-89.8576,1985,Oct 26- Nov 1
106,,,1985,Aug 28- Sep 4
107,29.5875,-92.1469,1985,Aug 12-20
108,40.7,-74.0133,1985,9/16-10/2
109,32.7817,-79.925,1985,7/21-7/26
110,29.6833,-94.0333,1986,Jun 23-28
111,41.285,-70.0967,1986,8/13-8/30
112,24.6481,-81.4164,1987,Oct 9-14
113,30.0038,-89.8576,1988,Sep 7-11
114,26.0733,-97.1547,1988,Sep 8-20
115,27.4994,-82.5737,1988,Nov 17-26
116,30.0038,-89.8576,1988,Aug 8-10
117,29.2129,-81.0187,1988,11/17-11/24
118,32.0333,-80.9017,1988,8/21-8/29
119,29.865,-93.9353,1989,Jun 24- Jul 1
120,29.5506,-94.3858,1989,Jul 30- Aug 3
121,29.7219,-95.0075,1989,Oct 12-16
122,33.0156,-79.5928,1989,Sep21-22
123,26.4375,-82.0386,1990,Oct 9-13
124,41.3865,-71.4754,1991,8/16-8/29
125,25.4977,-81.2006,1992,Aug 16-28
126,29.2305,-90.6693,1992,Aug 16-28
127,35.2446,-75.5292,1992,9/22-9/26
128,25.6035,-80.3104,1992,8/16-8/28
129,21.8758,-159.4606,1992,Sep 5-13
130,28.6984,-96.2162,1993,Jun 18-21
131,35.272,-75.5402,1993,8/31-9/1
132,29.7267,-84.9817,1994,Aug 14-19
133,30.3897,-86.5497,1994,Jun 30- Jul 7
134,25.0108,-80.5139,1994,Nov 8-21
135,24.5547,-81.7674,1994,11/8-11/21
136,29.9801,-83.8086,1995,Jun 3-11
137,30.2594,-85.9697,1995,Sep 27- Oct 6
138,30.3793,-86.8625,1995,Jul 31- Aug 6
139,28.7547,-82.6444,1995,Aug 22-28
140,24.5617,-81.6811,1996,Oct 14-29
141,29.3226,-83.1437,1996,Oct 4-8
142,33.9892,-77.91,1996,
143,41.2366,-69.9869,1996,Aug 19- Sep 6
144,34.365,-77.6302,1996,Jul 5 -14
145,34.6052,-76.5366,1996,Jun 17 -21
146,29.2366,-89.9873,1997,Jul 16-27
147,36.9467,-76.33,1997,7/16-7/26
148,29.8053,-84.7333,1998,Aug 31- Sep 8
149,30.3911,-88.9737,1998,Sep 15- Oct 1
150,28.6803,-95.9801,1998,Sep 8-13
151,24.5594,-81.6847,1998,Sep 15- Oct 1
152,29.285,-94.7883,1998,Aug 21-24
153,24.5572,-81.7092,1998,Oct 22- Nov 9
154,28.906,-78.471,1998,10/22-11/5
155,24.7,-81.505,1998,9/15-10/1
156,33.9739,-77.9147,1998,
157,24.7117,-81.105,1999,Oct 12-19
158,26.5628,-97.2764,1999,Aug 18-25
159,26.8778,-82.0632,1999,Sep 19-22
160,30.6717,-81.465,1999,10/13-10/19
161,33.9163,-78.1608,1999,Sep 7 - 19
162,35.0308,-76.6927,1999,Aug 24 - Sep 8
163,27.9232,-82.8444,2000,Sep 14-21
164,30.3968,-86.4709,2000,Sep 15-25
165,26.7696,-82.0615,2001,Sep 11-21
166,29.1813,-94.9717,2001,Jun 5-19
167,24.661,-81.3566,2001,Oct 29- Nov 6
168,30.3339,-86.185,2001,Aug 2-8
169,25.7971,-80.125,2001,
170,26.7067,-82.1633,2001,9/11-9/21
171,30.1733,-89.7274,2002,Sep 14-27
172,28.8303,-95.4981,2002,Sep 5-11
173,30.325,-89.325,2002,Aug 4-9
174,29.5742,-91.4206,2002,Sep 21- Oct 4
175,30.3614,-89.0928,2002,Sep 12-15
176,32.7817,-79.925,2002,9/20-10/12
177,35.5755,-75.4644,2002,Sep 8 - 15
178,30.0038,-89.8576,2003,Jun 28- Jul 3
179,29.2906,-94.7866,2003,Aug 30- Sep 2
180,28.9211,-95.3869,2003,Jul 7-17
181,36.0467,-75.6767,2003,9/25/2003
182,30.3422,-87.3106,2004,Sep 2-24
183,30.1076,-90.4268,2004,Oct 8-11
184,29.1363,-83.0373,2004,Sep 13-29
185,29.135,-83.0317,2004,Aug 3-14
186,29.7683,-93.3433,2004,Sep 2-24
187,26.4506,-81.9496,2004,Aug 9-15
188,27.8044,-82.807,2004,Aug 25- Sep 10
189,,,2004,Sep 13 - 29
190,33.0013,-76.5815,2004,8/27-9/1
191,33.0102,-79.4358,2004,Aug 25 - Sep 10
192,33.918,-78.1491,2004,Aug 9 - 15
193,35.2686,-75.5422,2004,Jul 31 - Aug 6
194,,,2004,Oct
195,30.3339,-86.185,2005,Jun 8-14
196,25.1294,-81.0369,2005,Aug 23-31
197,27.9133,-82.425,2005,Jul 4-18
198,30.2721,-89.376,2005,Aug 23-31
199,29.7867,-93.1837,2005,Sep 18-26
200,25.4432,-81.1564,2005,Oct 15-26
201,30.369,-86.3266,2005,Jul 4-18
202,30.2328,-87.9534,2005,Jul 3-11
203,26.0168,-97.152,2005,Jul 11-21
204,24.5546,-81.7638,2005,Sep 18-26
205,24.7117,-81.105,2005,10/15-10/26
206,32.0333,-80.9017,2005,10/5-10/6
207,30.3967,-81.43,2005,9/6-9/17
208,25.7317,-80.1617,2005,
209,25.7317,-80.1617,2005,
210,24.555,-81.8067,2005,7/4-7/13
211,,,2005,Sep
212,28.7829,-82.6206,2006,Jun 10-19
213,24.7117,-81.105,2006,Aug 24- Sep 4
214,32.0333,-80.9017,2006,Aug 28 - Sep 1
215,32.0333,-80.9017,2006,Aug 28 - Sep 1
216,,,2006,7/18-7/21
217,32.0333,-80.9017,2006,6/10-6/14
218,29.1815,-94.9716,2007,Aug 15-19
219,29.6781,-93.8369,2007,Sep 12-14
220,31.1317,-81.3967,2007,5/9-5/11
221,29.5858,-89.606,2008,Aug 25- Sep 5
222,25.8456,-81.3878,2008,Aug 15-28
223,26.3533,-97.2094,2008,Jul 20-27
224,26.647,-81.872,2008,Sep 1-15
225,24.7117,-81.105,2008,Aug 25- Sep 5
226,29.704,-94.4837,2008,Sep 1-15
227,25.7317,-80.1617,2008,
228,34.1572,-77.8766,2008,Aug 28 - Sep 8
229,25.8583,-81.3867,2008,8/15-8/28
230,29.5983,-89.6183,2009,Nov 4-10
231,29.6799,-85.2271,2009,Aug 16-18
232,28.6178,-96.6205,2010,Jun 25- Jul 2
233,28.6178,-96.6205,2010,Sep 6-9
234,35.5469,-75.6113,2010,Aug 24 - Sep 6
235,27.58,-97.2167,2011,Jul 27-30
236,30.031,-90.037,2011,Sep 2-5
237,40.583,-73.6594,2011,8/27/2011
238,,,2011,9-Nov
239,29.135,-83.032,2012,Jun 23-27
240,29.5666,-89.7659,2012,Aug 21- Sep 1
241,40.58,-73.64,2012,
